tweet,Topic_0,Topic_1,Topic_2,Dominant_Topic,Perc_Dominant_Topic
make vulnerable get purpose,0.554419755935669,0.37476158142089844,0.0708186998963356,Topic 0,0.55
circle contact maybe people dead mild symptom,0.045868124812841415,0.9088329672813416,0.045298900455236435,Topic 1,0.91
big_bird get,0.1135111004114151,0.7699851989746094,0.11650370806455612,Topic 1,0.77
blood clotting disorder,0.08474046736955643,0.8307059407234192,0.08455359190702438,Topic 1,0.83
month hospital classify patient unvaxxed hence skew statistic keep believe shot really,0.03348569571971893,0.27185389399528503,0.6946604251861572,Topic 2,0.69
go lie front train today accept would get train come go run sometime little could stop,0.7215644717216492,0.0235790703445673,0.25485649704933167,Topic 0,0.72
block biden federal mandate,0.7646484971046448,0.167498379945755,0.06785315275192261,Topic 0,0.76
finally come pill form republican man go cover drink party,0.5932722091674805,0.3637491762638092,0.0429786741733551,Topic 0,0.59
know status break protocol would far put risk,0.04051702842116356,0.9184799194335938,0.04100312292575836,Topic 1,0.92
right life threaten adult get state early prevent get spread virus also easily argue woman right,0.2984580099582672,0.6787461638450623,0.022795874625444412,Topic 1,0.68
never go concert,0.09150389581918716,0.1275576651096344,0.780938446521759,Topic 2,0.78
prolific spreader disinformation credential renew state couple month ago,0.17408613860607147,0.03552017733454704,0.7903936505317688,Topic 2,0.79
people live people die easy answer multiple death happen kick anti viral big deal get,0.4401247501373291,0.026117892935872078,0.5337573289871216,Topic 2,0.53
fully note datum next update information,0.8924190402030945,0.05550628527998924,0.052074652165174484,Topic 0,0.89
medical team special separate medical team know people belief risk dead know persona,0.025287533178925514,0.9493657946586609,0.025346679612994194,Topic 1,0.95
hold line chd launch hold line worldwide,0.044070787727832794,0.04804332181811333,0.9078859090805054,Topic 2,0.91
get go later,0.0908375158905983,0.8194915056228638,0.08967094123363495,Topic 1,0.82
drug stop transmission roger harm,0.5614458918571472,0.20732778310775757,0.23122632503509521,Topic 0,0.56
private business mandate,0.8305824398994446,0.08444225043058395,0.08497530221939087,Topic 0,0.83
measle smallpox would true shoot flu,0.04918484389781952,0.8842197060585022,0.0665954202413559,Topic 1,0.88
true life arm sore get booster flu carry little mile today,0.029165390878915787,0.031395867466926575,0.9394387602806091,Topic 2,0.94
late evidence stop spread population rate virus still spread government control virus,0.032303933054208755,0.03843439370393753,0.9292616844177246,Topic 2,0.93
think harmful,0.7709416747093201,0.1161663830280304,0.11289194226264954,Topic 0,0.77
whole world amazed widespread ignorance know never go prevent infection work rate would know importanc,0.02218826860189438,0.6498433947563171,0.3279683589935303,Topic 1,0.65
prevent spread serious case many people may contact virus render harmless polio smallpox,0.027851689606904984,0.9447625279426575,0.027385806664824486,Topic 1,0.94
month son say yesterday dad think want get stay safe dumb trump super spreader scared needle show,0.7114338278770447,0.2675960958003998,0.020970143377780914,Topic 0,0.71
give money take think okay,0.8792749643325806,0.06082671508193016,0.05989830568432808,Topic 0,0.88
low chance infect infect die result get low odd mutation factory,0.033528510481119156,0.38947758078575134,0.5769939422607422,Topic 2,0.58
get club,0.1144099161028862,0.7682151198387146,0.11737498641014099,Topic 1,0.77
comment packer attract ignorant quarterback,0.05769934505224228,0.8842981457710266,0.0580025240778923,Topic 1,0.88
chance small think could say chance die close benefit communit,0.8371127843856812,0.03399166837334633,0.12889550626277924,Topic 0,0.84
even blind fooled get,0.06899698078632355,0.8621861338615417,0.0688168853521347,Topic 1,0.86
need go retract misleading statement name element allergic true would get exemption,0.39214736223220825,0.538317859172821,0.06953474134206772,Topic 1,0.54
really sure get sure show fake test show full card also know status know sure,0.025081809610128403,0.7046995759010315,0.2702185809612274,Topic 1,0.7
hospital trick pulled easily blue sudden death know probably never medium medical quack admit shot hide death,0.020325826480984688,0.7244200706481934,0.2552541196346283,Topic 1,0.72
opinion aaron_rodger refuse also buy bad science,0.6132610440254211,0.3309924006462097,0.05574651435017586,Topic 0,0.61
anecdotal story dangerous folk still die breakthrough infection however many folk die,0.5061829090118408,0.2103026658296585,0.28351444005966187,Topic 0,0.51
excellent example sort thing likely get exactly instance trial conclude keep spread misinformation,0.16012223064899445,0.8104600310325623,0.0294177308678627,Topic 1,0.81
break rule must avoid cost cancel universal lable mislead true,0.8480213284492493,0.1198025494813919,0.03217613697052002,Topic 0,0.85
smallpox mandatory measle mandatory mump mandatory joke federal_appeal_court freeze rule company,0.21135397255420685,0.7574701309204102,0.03117590770125389,Topic 1,0.76
know icu still ventilator husband think stupid big deal,0.040491148829460144,0.05159979313611984,0.9079090356826782,Topic 2,0.91
really great news finally would allow size year_old girl,0.7453439831733704,0.2186058610677719,0.03605015203356743,Topic 0,0.75
